nro_acta,codigo_territorial,codigo_mesa,nro_mesa,nro_votantes,partido1,partido2,partido3,partido4,votos_blancos,votos_nulos,registrado_por
ACTA-10101001001,10101,10101001001,1,393,38,94,41,58,6,10,1
ACTA-10102001002,10102,10102001002,2,158,25,14,21,8,1,4,1
ACTA-10103001003,10103,10103001003,3,813,132,23,127,50,5,4,1
ACTA-10201001004,10201,10201001004,4,577,114,116,40,90,7,24,1
ACTA-10202001005,10202,10202001005,5,872,100,60,121,76,29,33,1
ACTA-10301001006,10301,10301001006,6,938,43,211,71,124,27,16,1
ACTA-10302001007,10302,10302001007,7,842,117,99,91,75,1,0,1
ACTA-10303001008,10303,10303001008,8,152,26,22,5,22,5,7,1
ACTA-10304001009,10304,10304001009,9,719,87,23,81,95,35,11,1
ACTA-10401001010,10401,10401001010,10,384,92,44,28,31,14,8,1
ACTA-10402001011,10402,10402001011,11,529,47,20,75,28,10,18,1
ACTA-10403001012,10403,10403001012,12,283,38,22,46,39,8,11,1
ACTA-10404001013,10404,10404001013,13,837,8,184,92,117,26,2,1
ACTA-10405001014,10405,10405001014,14,724,130,138,28,107,29,31,1
ACTA-10501001015,10501,10501001015,15,787,150,153,49,139,39,10,1
ACTA-10101001016,10101,10101001016,16,624,110,59,61,22,17,21,1
ACTA-10102001017,10102,10102001017,17,640,113,135,58,97,17,21,1
ACTA-10103001018,10103,10103001018,18,217,8,21,31,10,1,3,1
ACTA-10201001019,10201,10201001019,19,609,119,75,110,18,26,5,1
ACTA-10202001020,10202,10202001020,20,418,36,67,3,3,8,3,1
ACTA-10301002001,10301,10301002001,1,809,171,146,7,116,34,10,1
ACTA-10302002002,10302,10302002002,2,553,40,34,61,94,14,27,1
ACTA-10303002003,10303,10303002003,3,477,87,38,70,72,23,20,1
ACTA-10304002004,10304,10304002004,4,744,5,143,106,113,36,32,1
ACTA-10401002005,10401,10401002005,5,348,5,33,43,49,11,10,1
ACTA-10402002006,10402,10402002006,6,448,100,20,13,74,19,21,1
ACTA-10403002007,10403,10403002007,7,404,40,2,45,8,7,2,1
ACTA-10404002008,10404,10404002008,8,770,173,13,104,53,0,21,1
ACTA-10405002009,10405,10405002009,9,445,23,62,25,85,21,10,1
ACTA-10501002010,10501,10501002010,10,302,45,11,41,44,5,7,1
ACTA-10101002011,10101,10101002011,11,475,63,83,60,33,3,5,1
ACTA-10102002012,10102,10102002012,12,438,45,23,59,40,2,10,1
ACTA-10103002013,10103,10103002013,13,856,152,13,54,15,40,18,1
