nro_acta,codigo_territorial,codigo_mesa,nro_mesa,nro_votantes,partido1,partido2,partido3,partido4,votos_blancos,votos_nulos,registrado_por
ACTA-10101001001,10101,10101001001,1,369,8,83,66,21,3,13,1
ACTA-10102001002,10102,10102001002,2,167,34,6,24,23,7,6,1
ACTA-10103001003,10103,10103001003,3,880,151,54,12,112,27,16,1
ACTA-10201001004,10201,10201001004,4,661,140,12,70,44,17,31,1
ACTA-10202001005,10202,10202001005,5,269,5,12,12,3,7,7,1
ACTA-10301001006,10301,10301001006,6,621,32,125,29,4,30,5,1
ACTA-10302001007,10302,10302001007,7,479,80,44,54,93,2,16,1
ACTA-10303001008,10303,10303001008,8,201,10,12,5,40,1,7,1
ACTA-10304001009,10304,10304001009,9,160,16,28,28,13,2,5,1
ACTA-ERROR-10401001010,10401,10401001010,10,618,618,63,55,18,11,30,1
ACTA-10402001011,10402,10402001011,11,399,56,48,44,75,19,19,1
ACTA-10403001012,10403,10403001012,12,352,67,34,43,19,12,10,1
ACTA-10404001013,10404,10404001013,13,498,124,80,91,47,2,9,1
ACTA-10405001014,10405,10405001014,14,551,17,48,82,33,14,8,1
ACTA-10501001015,10501,10501001015,15,425,15,24,63,9,5,5,1
ACTA-10101001016,10101,10101001016,16,912,79,162,70,64,0,15,1
ACTA-10102001017,10102,10102001017,17,172,12,9,30,28,8,7,1
ACTA-10103001018,10103,10103001018,18,620,109,125,94,70,10,25,1
ACTA-10201001019,10201,10201001019,19,672,131,29,134,4,23,1,1
ACTA-ERROR-10202001020,10202,10202001020,20,643,643,28,28,52,7,26,1
ACTA-10301002001,10301,10301002001,1,552,117,97,83,35,6,27,1
ACTA-10302002002,10302,10302002002,2,723,157,15,144,21,19,7,1
ACTA-10303002003,10303,10303002003,3,693,43,101,125,25,13,33,1
ACTA-10304002004,10304,10304002004,4,558,105,46,16,99,15,22,1
ACTA-10401002005,10401,10401002005,5,424,76,41,18,1,8,3,1
ACTA-10402002006,10402,10402002006,6,669,164,16,47,132,20,28,1
ACTA-10403002007,10403,10403002007,7,515,51,30,68,90,11,16,1
ACTA-10404002008,10404,10404002008,8,754,90,7,101,132,33,32,1
ACTA-10405002009,10405,10405002009,9,804,95,13,42,71,25,13,1
ACTA-ERROR-10501002010,10501,10501002010,10,899,899,78,30,46,30,20,1
ACTA-10101002011,10101,10101002011,11,456,25,6,51,5,3,21,1
ACTA-10102002012,10102,10102002012,12,220,32,40,8,27,8,6,1
ACTA-10103002013,10103,10103002013,13,484,57,37,68,40,11,14,1
ACTA-10201002014,10201,10201002014,14,797,13,11,51,136,7,20,1
ACTA-10202002015,10202,10202002015,15,383,66,75,31,61,12,15,1
